ID,TRT,PreTRTLen (mm),PostTRTLen (mm),Diff
1,control,230,235,5
2,freezer,200,180,-20
3,control,202,228,26
4,freezer,190,169,-21
5,control,179,173,-6
6,freezer,210,205,-5
7,control,170,182,12
8,freezer,180,168,-12
9,control,225,220,-5
10,freezer,209,200,-9
11,control,215,215,0
12,freezer,230,210,-20
13,control,228,210,-18
14,freezer,235,225,-10
15,control,220,230,10
16,freezer,210,199,-11
17,control,200,190,-10
18,freezer,190,188,-2
19,control,218,198,-20
20,freezer,250,220,-30
21,control,230,225,-5
22,freezer,198,170,-28
23,control,200,190,-10
24,freezer,190,175,-15
25,control,185,180,-5
26,freezer,200,184,-16
27,control,190,190,0
28,freezer,238,199,-39
29,control,186,190,4
30,freezer,200,180,-20
31,control,210,195,-15
32,freezer,200,205,5
33,control,184,183,-1
34,freezer,210,198,-12
35,control,190,200,10
36,freezer,210,190,-20
37,control,189,215,26
38,freezer,198,200,2
39,control,189,187,-2
40,freezer,237,220,-17
41,control,198,230,32
42,freezer,220,195,-25
43,control,210,230,20
44,freezer,195,190,-5
45,control,185,195,10
46,freezer,178,160,-18
47,control,190,215,25
48,freezer,218,220,2
49,control,190,200,10
50,freezer,219,208,-11
